population	model	date	rep	h	S_allsites	W_meanFitness	L_mutationLoad	generation
AK	1D.5Epoch	20191203	1	0	0.357213640707623	0.699623013811514	0.300376986188486	42
AK	1D.5Epoch	20191203	1	0	0.355982533423403	0.700484855200779	0.299515144799221	44
AK	1D.5Epoch	20191203	1	0	0.353689075276623	0.702093231565575	0.297906768434425	46
AK	1D.5Epoch	20191203	1	0	0.351526988150775	0.703612860495787	0.296387139504213	48
AK	1D.5Epoch	20191203	1	0	0.350074157264009	0.704635833915598	0.295364166084402	50
AK	1D.5Epoch	20191203	1	0	0.352895369402193	0.702650708294878	0.297349291705122	52
AK	1D.5Epoch	20191203	1	0	0.360011876419331	0.697668040223629	0.302331959776371	54
AK	1D.5Epoch	20191203	1	0	0.363776902459447	0.695046240553936	0.304953759446064	56
AK	1D.5Epoch	20191203	1	0	0.362691702820879	0.695800913894529	0.304199086105471	58
AK	1D.5Epoch	20191203	1	0	0.362005469712676	0.696278559387693	0.303721440612307	60
AK	1D.5Epoch	20191203	1	0	0.360310279461783	0.697459885016422	0.302540114983578	62
AK	1D.5Epoch	20191203	1	0	0.358015710349359	0.69906209241056	0.30093790758944	64
AK	1D.5Epoch	20191203	1	0	0.355908101725126	0.700536995418588	0.299463004581412	66
AK	1D.5Epoch	20191203	1	0	0.353181694881445	0.702449550293783	0.297550449706217	68
AK	1D.5Epoch	20191203	1	0	0.351878791836376	0.703365370434739	0.296634629565261	70
AK	1D.5Epoch	20191203	1	0	0.349887007337452	0.704767718800903	0.295232281199097	72
AK	1D.5Epoch	20191203	1	0	0.35035683474708	0.704436677381445	0.295563322618555	74
AK	1D.5Epoch	20191203	1	0	0.349011276258943	0.705385176119208	0.294614823880792	76
AK	1D.5Epoch	20191203	1	0	0.347391105900063	0.706528946574449	0.293471053425551	78
AK	1D.5Epoch	20191203	1	0	0.344614522413349	0.708493409165516	0.291506590834484	80
AK	1D.5Epoch	20191203	1	0	0.342905260277494	0.709705445672272	0.290294554327728	82
AK	1D.5Epoch	20191203	1	0	0.341825957683685	0.710471846115221	0.289528153884779	84
AK	1D.5Epoch	20191203	1	0	0.340914957347997	0.711119381113046	0.288880618886954	86
AK	1D.5Epoch	20191203	1	0	0.340883746975584	0.71114157576011	0.28885842423989	88
AK	1D.5Epoch	20191203	1	0	0.340858262546995	0.711159699027744	0.288840300972256	90
AK	1D.5Epoch	20191203	1	0	0.339607070464103	0.712050053298794	0.287949946701206	92
AK	1D.5Epoch	20191203	1	0	0.338968313317925	0.712505025651726	0.287494974348274	94
AK	1D.5Epoch	20191203	1	0	0.338934847573316	0.712528870561939	0.287471129438061	96
AK	1D.5Epoch	20191203	1	0	0.336931964220452	0.713957412899501	0.286042587100499	98
AK	1D.5Epoch	20191203	1	0	0.33616705922798	0.714503731403279	0.285496268596721	100
AK	1D.5Epoch	20191203	1	0	0.335442066268702	0.715021929400177	0.284978070599823	102
AK	1D.5Epoch	20191203	1	0	0.334782725639333	0.715493527864049	0.284506472135951	104
AK	1D.5Epoch	20191203	1	0	0.333719103023624	0.716254947821639	0.283745052178361	106
AK	1D.5Epoch	20191203	1	0	0.33329593223811	0.71655811013073	0.28344188986927	108
AK	1D.5Epoch	20191203	1	0.5	0.343903713760378	0.708997191436512	0.291002808563488	0
AK	1D.5Epoch	20191203	1	0.5	0.345501412538917	0.707865331915822	0.292134668084178	2
AK	1D.5Epoch	20191203	1	0.5	0.341101031017377	0.71098707283036	0.28901292716964	4
AK	1D.5Epoch	20191203	1	0.5	0.336733507819149	0.714099116378865	0.285900883621135	6
AK	1D.5Epoch	20191203	1	0.5	0.328316668777026	0.720134939343707	0.279865060656293	8
AK	1D.5Epoch	20191203	1	0.5	0.327188694924349	0.720947691020832	0.279052308979168	10
AK	1D.5Epoch	20191203	1	0.5	0.322650131435591	0.724227194376281	0.275772805623719	12
AK	1D.5Epoch	20191203	1	0.5	0.327900217453467	0.720434902948122	0.279565097051878	14
AK	1D.5Epoch	20191203	1	0.5	0.332863476036538	0.716868057143666	0.283131942856334	16
AK	1D.5Epoch	20191203	1	0.5	0.330160623355497	0.718808266763086	0.281191733236914	18
AK	1D.5Epoch	20191203	1	0.5	0.33305581910359	0.716730185802607	0.283269814197393	20
AK	1D.5Epoch	20191203	1	0.5	0.335888926463901	0.714702485939832	0.285297514060168	22
AK	1D.5Epoch	20191203	1	0.5	0.343594850021647	0.709216208781325	0.290783791218675	24
